airline_sentiment,text
negative,"@AmericanAir Yes, but should be able to get a push notification via the app if I’m logged in and on a trip. Email/text is so 2010 😥."
negative,@united I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather
negative,@USAirways link didn't work via Mobil.
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
negative,@USAirways @AmericanAir ok the app doesn't seem to be working. just use the mobile site... http://t.co/4kLfywwMq1
negative,@USAirways This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.
negative,@AmericanAir why are @USAirways gold forced to pay for an upgrade? Open seats in 1st and not offered to Gold/Sapphire
negative,@united I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2
negative,@USAirways why does this flight keep getting delayed Late Flightr and Late Flightr?
negative,@USAirways I tried reaching out to you guys I'm running out time and patience I just want my flight to be honor and I want a confirmation!
negative,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
negative,@united you think you boarded flight AU1066 too early? I think so.
negative,"@USAirways as the employee responsible for social media content, yes u probably do care however the actions from last night say otherwise"
negative,"@AmericanAir i dont believe it, it has been impossible for your agents to get an update from the delivery company since yesterday at 11 am"
negative,@SouthwestAir any particular reason it's 20+ minutes and counting to speak to a human being?
negative,Sir. RT @JetBlue: Our fleet's on fleek. http://t.co/F5IXyw8XyB
negative,@united no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail
negative,@united + that's the gist of what the flight attendant told her.
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
negative,@USAirways Please can someone contact me regarding my missing bag? It has been 3 days. Online tracking shows nothing.
negative,@USAirways my in-laws flight Cancelled Flighted 4 tonight. U auto rebooked 4 flight on Tuesday that doesn't work. Can you help reFlight Booking Problems them?
negative,@USAirways  in don't have it on me at the time as I am taking Amtrak home. How do we call for partial refunds?
negative,@JetBlue Capital One and I explained the false fraud alert. Why did the Jet Blue representative issue me a new tkt if it wasn't resolved?
negative,@SouthwestAir Any ETD for SWA1004 from PHL? Appears delayed but no info available at gate.
negative,@united direct messages not going through please help
negative,"@USAirways see? No response? Obviously you think this ""service"" is acceptable. #customerservicefail"
negative,@united check in and it's still saying I haven't paid. I've called back twice was on hold for 30 minutes then they answered and hung up. I
negative,@AmericanAir I have been waiting at this airport since 11 am and have to wait until 8:30 tomorrow and cannot get any sort of help!
negative,"@AmericanAir How is hanging up on customers because of ""high volume"" customer service? Tried to resolve via DM-still waiting.So bad. #aafail"
negative,"@USAirways @AskPayPal When will it be marked ""completed"". I'm scared I'm going to lose my reservation or my money is going to be refunded."
negative,@AmericanAir my flight was Cancelled Flightled from Laguardia to Louisville Ky and i am  stuck at the airport. Do you guys compensate for this?
negative,@united Suck
negative,@SouthwestAir how often are airplane seats/tray tables cleaned and sanitized? rather have air purifier and clean seats than #wifi 😷😱
negative,@USAirways we already spoke to someone several times about the matter and no one is sympathetic or will fly us home early complimentary.
negative,".@USAirways worst experience of all time. Will never, ever, ever travel with you again. EVER"
negative,@usairways and @american please get my plane together before I go to Jetblue
negative,@USAirways flight to Des Moines Cancelled Flightled. Unacceptable to be booked on flight on Tuesday because of work commitments. 2hrs on hold
negative,@AmericanAir why do I have to wait for 2 hours to talk to someone when you changed my flight?
negative,@united I see you tweeting as little as 7 min ago. Are you just ignoring my CS request? #CantLogOutOfUnitedWifi
negative,@AmericanAir - answer the phones.  Trying to change a reservation and haven't been able to get a human to pick up in two days.
negative,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.
negative,@SouthwestAir @dultch97 kid just wants fucking money #scumbag
negative,@VirginAmerica Just DM'd. Same issue persisting.
negative,"@AmericanAir we're on AA1401 landed at 8:55pm in Miami, but waiting for a gate. Can someone on your team help us out?!"
negative,@SouthwestAir is that the same reliable system couldn't find my info and then said it refund my credit card ?
negative,@AmericanAir my flight to San Angelo via Dallas from Orlando Cancelled Flighted help! On hold and disconnect
negative,"@JetBlue Felt a bit like they were adding insult to injury, since we'll be in terminal 5 for seven hours until the next flight :/"
negative,@AmericanAir wasn't just a delay. Your counter wouldn't take a valid CAC card as a valid ID which is needed for a TSA precheck on pass
